category,text
livestock,"FRANCE WILL FIGHT EC FARM PROPOSALS - MINISTER  French Agricultural Minister  Francois Guillaume warned that France would flatly reject  proposed reforms of the European Community, EC, cereals, sugar  and oilseeds sectors, which he said would disrupt these  markets.      The EC Commission's proposals to shorten the intervention  period and lower monthly premiums for cereals and increase the  financial burden on the sugar producers will also result in  lower real prices for producers, he told farmers here.      ""I give you my word that France, while it will not reject  technical adjustments or serious discussion, will simply reply  in the negative to these bad reforms,"" Guillaume told the annual  conference of the country's major farm union, FNSEA   (Federation Nationale des Syndicats Dexploitants Agricoles).      Community agricultural ministers are due to meet again  Monday to try and agree a package of reforms to curb spiralling  EC output and fix farm prices for 1987/88.      Relations between the government and farmers have become  strained in France in recent months.      There have been sporadic but frequent demonstrations by  farmers protesting over sharp falls in meat and pork prices and  further cutbacks in Community milk output.      But Guillaume's warning that he would reject reorganisation  of the EC cereal and sugar markets -- France being a major  producer of both crops -- won him warm applause from the  FNSEA's farmers.      His pledge to fight the EC proposals and push for the  complete dismantling of the system of cross border taxes  designed to smooth out currency differences known as Monetary  Compensatory Amounts, MCA's, however, are unlikely to avoid  further protests by producers.      Farm leader Raymond Lacombe said the union planned to go  ahead with a series of major protests both in France and abroad  against the EC Commission's proposals to overhaul the farm  sector.      ""The Minister's proposals back up our determination to  organise union action in the coming weeks,"" he told reporters,  adding that this could also act in Guillaume's favour on a  ministerial level.      Guillaume was head of the FNSEA for many years before being  appointed farm minister last spring.      Lacombe refused to say whether the farmers felt that  Guillaume was doing a good job as farm minister.      There have been certain advances on cutting production  costs, reducing fiscal costs and awarding drought aid, but  there are still areas where more could be done such as on  farmers' indebtedness, he said.      Guillaume told the conference the government will make  available 2.4 billion francs (396 mln dlrs) to help producers  reduce milk output and to encourage older farmers to retire.      The government has already announced financial aid for the  milk sector and it was not clear how much of the package  announced today was new aid, Lacombe said.  "
gnp,"S.AFRICA EXPECTED TO UNVEIL EXPANSIONARY BUDGET  South Africa is expected to unveil  tomorrow an expansionary budget for the second consecutive year  in a bid to boost the nation's flagging economic growth rate,  economic analysts said.      Faced with competing demands for increased military and  police spending and the pressing need for more funds for black  housing and education, Finance Minister Barend Du Plessis is  expected to raise significantly the government's overall  expenditure targets when he presents the budget to parliament,  the analysts said.      Analysts expect Du Plessis to provide for a rise in state  spending at least equal to the 16 pct inflation rate for the  financial year that started on April 1, while ignoring pleas  from the private sector to stimulate growth by cutting taxes.      ""Fiscal policy has become gradually more expansionary, but  simply raising government spending and increasing the budget  deficit is an inflationary form of stimulation,"" said Rob Lee,  chief economist at South African Mutual Life Assurance Co.      South Africa this year is targeting inflation-adjusted  growth in GDP of three pct against an increase last year of  less than one pct.      Growth in GDP over the past decade has averaged about 1.5  pct, while the unemployment rate among blacks has spiralled to  over 30 pct.      Economists estimate that the government's spending target  will rise to about 47 billion rand, with revenue budgeted at  around 40 billion rand. This would leave a budget deficit  before borrowing of about seven billion rand, or four pct of  GDP.      The government, having consistently overshot its own  spending targets for more than a decade, also faces a  credibility crisis over expenditure figures outlined in the  budget, analysts said.      ""The budget is invariably too optimistic on expenditure,""  said Standard Bank Ltd in a budget preview.      Many analysts in the private sector are now paying less  attention to the figures presented in the budget and are using  their own estimates of expenditure to draw conclusions for the  money and capital markets.      South African Mutual's Lee believes government spending  will again exceed the budget target and increase to around 49  billion rand this year, leaving a deficit of between 5 and 5.5  pct of GDP, compared with a three pct limit suggested by the  IMF.      ""The IMF limit is obviously going to be abandoned,"" predicted  one analyst, noting that South Africa has moved steadily away  from austerity measures recommended by the IMF over the past  two years.      The policy shift followed a dramatic deterioration in the  political situation and the onset of an economic crisis  triggered by the refusal of major foreign banks to roll over  loans to the country in September 1985.      Against a background of Western economic sanctions, falling  per capita incomes, rising joblessness and high inflation,  government officials say economic growth is the prime  objective.      But private-sector economists caution that the government's  ability to promote growth by boosting state spending is  constrained by the need to maintain a large surplus on the  current account of the country's balance of payments.      Most of that surplus, this year estimated at around 2.5  billion dlrs, will be swallowed up by repayments on the  nation's estimated 23 billion dlr foreign debt in terms of an  arrangement reached earlier this year with major international  creditor banks.      Within these constraints, economists believe Du Plessis has  little room to manoeuvre.      Analysts argue recent rises in civil service salaries and  budgeted spending increases for the state-owned Post Office and  South African Transport Services suggest that major tax  concessions to individuals or corporations are unlikely.      Du Plessis earlier this year announced small concessions  for taxpayers in a mini-budget before the May 6 whites-only  election. The poll delayed presentation of the national budget.      ""This will not be a very exciting budget,"" commented Harry  Schwarz, spokesman on finance for the liberal Progressive  Federal Party. ""I do not expect any major tax cuts as all the  sweets were given out before the election.""  "
nat-gas,BRITISH PETROLEUM RAISES NORTH SEA BUTANE PRICES BY 15.50DLRS A TONNE TODAY  BRITISH PETROLEUM RAISES NORTH SEA BUTANE PRICES BY 15.50  DLRS A TONNE TODAY  
gold,"PRECIOUS METALS CLIMATE IMPROVING, SAYS MONTAGU  The climate for precious metals is  improving with prices benefiting from renewed inflation fears  and the switching of funds from dollar and stock markets,  brokers Samuel Montagu and Co Ltd said.      Silver prices in March gained some 15 pct in dlr terms due  to a weak dollar and silver is felt to be fairly cheap relative  to gold, Montagu said in its monthly silver newsletter. In  March the gold/silver ratio narrowed from 74 to less than 67.      The supply/demand position has improved in the past year,  and despite a silver market surplus, the quantity of silver is  modest enough to be absorbed by investors, it added.      The report said the firmness in oil prices was likely to  continue in the short term.      A period of consolidation might be necessary before prices  attempted to move significantly higher,it said, but so long as  the dollar remains under pressure then the outlook for silver  was positive.      However silver was less likely to continue to outpace the  other metals by such a margin, Montagu said.  "
livestock,"PORK CHECKOFF REFUNDS LESS THAN EXPECTED  The National Pork Board announced at the  American Pork Congress convention in Indianapolis that refunds  under the legislative checkoff program are running less than  expected.      The Board oversees collection and distribution of funds  from the checkoff program that was mandated by the 1985 farm  bill. Virgil Rosendale, a pork producer from Illinois and  chairman of the National Pork Board, said over 2.2 mln dlrs was  collected in January and refunds are running almost nine pct,  considerably less than expected.      ""We believe that this indicates good producer support for  the new checkoff. We're getting good compliance from markets,  from packers and from dealers,"" Rosendale said.  "
gold,"NORTH KOREA TO RESURRECT GOLD MINE TO REPAY DEBT  Pyongyang and a group of Tokyo-based  North Korean businessmen plan to resurrect a North Korean  goldmine and boost annual output to almost one tonne within two  years from 600 pounds at present, said Li Sangsu, a spokesman  for &lt;Unzan Mine Development Co>, the venture partner.      Work will begin on April 3 and the company aims to increase  output to 10 tonnes within a decade to pay off Pyongyang's 70  billion yen debt to 30 Japanese companies, Li added.      ""We expect this mine to be worth about 2,000 billion yen in  gold deposits,"" he said.      The mine, started in 1896 by a U.S. Company, is one of six  or seven virtually untapped mines in the Unzan area, 94 miles  north of Pyongyang, Li said.      Li said modern equipment and advanced technology would  increase yields. ""Up to now, the mining was done with antiquated  methods and basic equipment.""      The gold mine scheme is the latest in a series of moves by  North Korea to clear its debts to Japanese creditors.      Earlier this year, Pyongyang tried and failed to pay off  part of its debt with several tonnes of fish.  "
nat-gas,"TEXACO &lt;TX> RESERVES DOWN DESPITE LOWER OUTPUT  Texaco Inc's oil and gas reserves  declined in 1986 despite reduced production and upward  revisions in the company's previous reserve estimates, its  annual report said.      The statement of the report's auditor was qualified -- as  was the previous one -- because of the unkonwn final impact of  the judgement won by Pennzoil Co &lt;PZL> against Texaco on  charges Texaco interfered with Pannzoil's contract to acquire  Getty Oil Co.      The auditor's point out, as Texaco has in the past, the  company's loss of any of several pending court decisions in  this case could cause it ""to face prospects such as having to  seek protection of its assets and business pursuant to the  bankruptcy and reorganization provisions of Chapter 11"" of the  federal bankruptcy code.      Commenting on a Texas Court of Appeals ruling which reduced  Pennzoil's judgement by two billion dlrs, to 9.1 billion dlrs,  Texaco said it will file a motion for a rehearing by the  appeals court no later than March 30.      Texaco said the proven crude oil reserves of the company  and its consolidated subsidiaries totaled 2.54 billion barrels  at the end of 1986, down from 2.69 billion a year earlier.      However, inclusion of Texaco's equity in the Eastern  Hemisphere reserves of a nonsubsidiary company limited the  decline to 2.91 billion barrels from 3.00 billion at the end of  1985.      Worldwide production by the consolidated subsidiaries  declined to 341 mln barrels last year from 362 mln in 1985 and  upward revisions in previous reserve estimates rose to 143 mln  barrels from 117 mln, respectively.      Texaco said the largest drop in reserves came in the United  States -- where the total dropped to 1.46 billion barrels from  1.55 billion.      The company said U.S. liquids production averaged 660,000  barrels per day last year, down from 714,000 in 1985, with  about 44 pct of the decline -- some 24,000 barrels per day --  representing high-cost production shut-in or curtailed in  response to the decline in crude oil prices during 1986.      Texaco said its natural gas reserves totaled 8.16 trillion  cubic feet at year end, down from 8.87 trillion cubic feet at  the end of 1985.  "
gold,"U.S. GOLD, SILVER, PLATINUM SOAR ON VOLCKER REJECTION OF 3RD TERM  U.S. GOLD, SILVER, PLATINUM SOAR ON VOLCKER REJECTION OF 3RD TERM  "
livestock,"OCCIDENTAL UNIT &lt;OXY> LIFTS LOCKOUT  Iowa Beef Processors Inc is lifting a  lockout at its Dakota City, Nebraska processing plant and plans  to resume operations March 16, United Food and Commercial  Workers Union spokesman Allen Zack said by phone from his  Washington, D.C. headquarters.      Iowa Beef, a susbsidiary of Occidental Petroleum Corp,  mailed a letter to members of UFCWU Local 222 informing them a  lockout imposed by the company on December 14 would be lifted  and meatpackers could return to work under Iowa Beef's  ""revised, last and best final offer,"" according to Zack.      The letter was signed by four managers at the Dakota City  plant.      Iowa Beef closed the proessing plant indefinitely in  mid-December because, it said, it had no alternative to threats  by meatpackers to disrupt operations.      About 2,800 members of Local 222 are affected by the  shutdown. A 3-1/2 year labor contract at the plant expired  December 13.  "
gold,"ST. JOE GOLD TO DEVELOP ONTARIO MINE  St. Joe Gold Corp said it plans to  proceed with development of its Golden Patricia gold property  in northwestern Ontario.      It said about five mln dlrs will be spent to continue  underground development and obtain operating permits and  another 10.2 mln dlrs is expected to be required to complete  underground development, construct a mill and provide the  infrastructure needed to put the mine into commercial  production.      St. Joe Gold said if the necessary operating permits were  granted in time, it would start gold production in the second  half of the year ending October 31, 1988 at an annual rate of  about 40,000 troy ounces.      The company said the property is estimated to contain over  500,000 troy ounces of gold, and the initial mining project  covers only seven of 192 claims, with drill-indicated reserves  of 293,000 short tons grading 0.88 troy ounce of gold per ton.      It said initial mine output is expected to be about 150  tons of ore daily.      St. Joe Gold said the Golden Patricia vein has not been  tested at depth or along strike to the east and west and  exploration is continuing on the Golden Patricia property and  the adjacent wholly-owned Muskeg Lake property.      The company also said its Richmond Hill gold and silver  deposit in the Carbonate district of western South Dakota has  been shown by drilling to contain about 3,900,000 tons grading  0.055 troy ounce of gold and 0.23 troy ounce of silver per ton.   It said preliminary results are encouraging and a feasibility  study is nearing completion.  "
gnp,"UK AVERAGE GDP RISES PRELIMINARY 2.6 PCT IN 1986, UP 0.7 PCT IN 4TH QTR  - OFFICIAL  UK AVERAGE GDP RISES PRELIMINARY 2.6 PCT IN 1986, UP 0.7 PCT IN 4TH QTR  - OFFICIAL  "
livestock,"RENEWED BULL SPREADING LIKELY ON CATTLE REPORT  Livestock analysts expect renewed bull  spreading in live cattle futures following yesterday's USDA  7-state cattle on feed report.      The USDA reported high placements in February, which may  weigh on back months of cattle futures. Meanwhile, continued  strong marketings during the month will support the April  contract.      Contracts for June delivery forward could open 25 to 50  cents lower while April will likely open about steady, analysts  said.      Cheap corn is still the main incentive for putting cattle  on feed, according to Smith Barney livestock analyst Tom  O'Hare. ""They have no place to send the grain,"" he said.      Strong daily fundamentals may add to nearby support while  the current discount of deferred months to the cash market may  offset much of the effect of the report, analysts said.      ""The cash market is strong and may overshadow the report,""  said Robin Fuller, analyst for Agri Analysis. She added that  even though placements came in above the average trade guess,  many traders had expected high placements.      Placements are not that negative, especially since the  technical correction in June and August live cattle futures  since last week, GH Miller analyst Jerry Gidel said.      He said the current marketing posture will provide added  support to the nearby month. Feedlot marketings have been  running at a heavier than expected pace.      Chuck Levitt, analyst for Shearson Lehman said that with  the number of cattle on feed down five pct at the beginning of  the year, a three pct decline in marketings was expected. But  the report for January showed marketings at 101 pct of a year  ago and in February marketings were at 100 pct, Levitt noted.      ""So far we haven't seen any decline in marketings. They  (feedlot operators) are marketing more cattle than they had  intended for the first quarter, which is a bullish  development,"" Levitt said.      Gidel also noted that marketings for the early part of  March are running ahead of a year ago. Feedlots are not falling  behind and are holding that 100 pct marketing pace.  "
gold,"LEVON RESOURCES &lt;LVNVF> GOLD ASSAYS IMPROVED  Levon Resources Ltd  said re-checked gold assays from the Howard tunnel on its  Congress, British Columbia property yielded higher gold grades  than those reported in January and February.      It said assays from zone one averaged 0.809 ounces of gold  a ton over a 40 foot section with an average width of 6.26  feet. Levon previously reported the zone averaged 0.226 ounces  of gold a ton over a 40 foot section with average width of 5.16  feet. Levon said re-checked assays from zone two averaged 0.693  ounces of gold a ton over a 123 foot section with average width  of 4.66 feet.      Levon Resources said the revised zone two assays compared  to previously reported averages of 0.545 ounces of gold a ton  over a 103 foot section with average width of 4.302 feet.      The company also said it intersected another vein 90 feet  west of zone two, which assayed 0.531 ounces of gold a ton  across a width of 3.87 feet.  "
livestock,"HEALTH EXPERTS URGE ERADICATION OF RINDERPEST  World animal health experts called for a  campaign to eradicate the lethal cattle disease Rinderpest in  Bangladesh, Bhutan, India, Nepal and Pakistan, a statement from  a Food and Agriculture Organization (FAO) meeting here said.      Some 230 mln dlrs is needed over two years to vaccinate the  entire susceptible cattle population in Bangladesh and Pakistan  and high-risk areas of the other three countries. In India some  240 mln cattle are estimated to be at risk from the disease.      The experts recommended the campaign be funded mostly by  the governments of the five nations, with help from the FAO.  Similar campaigns are needed in Egypt, Yemen, Iraq and Iran.  "
gnp,"ITALIAN 1987 GDP GROWTH FORECAST AT THREE PCT  Italy's gross domestic product (GDP) will  grow three pct in real terms this year and 2.7 pct in 1988,  said economic information company Data Resources Europe Inc  (DRI).      Michel Girardin, DRI Europe's senior economist, said at a  conference that Italian GDP growth this year ""will be mainly  driven by consumption and especially investment.""      Girardin said the driving force behind GDP growth next year  will shift from domestic demand to exports as a result of  expected depreciation of the lira against the major currencies.      Italy's budget ministry said yesterday that GDP rose 2.7  pct in real terms in 1986.      DRI forecast that inflation, which was an average 6.3 pct  in 1986, will be under five pct this year and that interest  rates should drop two pct.      Girardin said the lira is expected to appreciate 14 pct  against the dollar this year following last year's 22 pct  appreciation. An expected German mark appreciation against the  dollar means that the lira should lose about six pct of its  value relative to the German currency, he said.      DRI estimates that foreign demand for Italian products  should grow by a 3.2 pct this year following last year's 6.2  pct increase.  "
nat-gas,"SANTOS BIDS FOR OIL AND GAS COMPANY TMOC RESOURCES  Cooper Basin oil producer Santos Ltd  &lt;STOS.S> said it will bid 4.00 dlrs a share for the 96.03 pct  it does not already hold in diversified oil and gas company  &lt;TMOC Resources Ltd>.      Santos said the bid values TMOC at 248.5 mln dlrs. It said  it already holds 1.91 mln of TMOC's 25 cent par shares.      TMOC held interests outside the Cooper Basin region of  South Australia and Queensland and the acquisition would  further the Santos objective of developing as a broadly based  oil and gas company with interests outside its existing base in  the Cooper Basin, the company said in a statement.      Santos said TMOC holds several important domestic oil and  gas production, exploration and pipeline interests.      In the Northern Territory it has a 43.75 pct stake in and  operates the Mereenie oil and gas field in the Amadeus Basin  and owns 32 pct of &lt;N.T. Gas Pty Ltd>, owner and operator of  the Alice Springs to Darwin gas pipeline.      In Queensland, TMOC has extensive interests in the Surat  Basin, including the 100 pct owned and operated Moonie oil  field and 33 pct of the Boxleigh gas field.      TMOC owns 80 pct of the &lt;Moonie Pipeline Co Pty Ltd> which  owns and operates the Moonie to Brisbane oil pipeline.      TMOC also holds 25 pct of the Jackson to Moonie oil  pipeline, 20 pct owned by Santos. Output from the Naccowlah  block, 40 pct owned by Santos, provides the bulk of the  throughput of both pipelines.      TMOC has exploration interests in a number of areas in the  Amadeus, Surat, Eromanga and Canning basins.      It also has oil and gas interests in Britain's North Sea,  Ecuador, and the U.S., Along with gold and base metal  production through its associate &lt;Paringa Mining and  Exploration Co Plc>, Santos said.  "
gnp,"SEIPP SAYS GERMAN INTEREST RATES SHOULD FALL  The Bundesbank should take further  steps to reduce German interest rates to protect the mark from  further appreciation and to persuade investors to bring  long-term yields lower, Commerzbank AG &lt;CBKG.F> management  board chairman Walter Seipp said.      But he told the bank's annual news conference this did not  mean a cut in leading interest rates, rather a reduction in  money market rates through bringing the allocation rates down  for Bundesbank securities repurchase agreements.      ""Leading interest rates are not the decisive rates,"" he said.  ""The money market rates are the important ones.""      Seipp said the Bundesbank should move away from allocating  money market liquidity at a fixed 3.8 pct as it has in recent  tender allocations.      An easier monetary policy would not mean a loss of  credibility for the Bundesbank in its containment of monetary  growth. A fall in short rates would make the public aware of  the high yields in bonds and lead to a longer-term capital  formation, braking the expansion of money supply.      ""Thus, you can have lower rates and also a normalisation of  monetary growth both at the same time,"" he added.      Seipp said there were no grounds to paint too black a  picture of the German economy, since company profitability had  improved over recent years and domestic oriented firms were  profiting from cheaper imports because of the rise in the mark.      Growth this year should be at least one pct, he said,  describing the downturn in production in the first months as a  false start, unrepresentative of the rest of the year.      After an economic contraction in the first quarter, the  economy should show an uptrend in the last three. ""We don't  believe that the economy has tipped over, but see it more as a  'growth dip,'"" Seipp said.      But Seipp also called for support for growth from fiscal  policy, saying the top rate of income and corporate tax should  be brought down to 49 pct. The current peak rate is 56 pct.      The additional tax cuts brought forward to next January  were no substitute for support for growth.      Seipp added the federal government should make ""further  courageous steps to decrease the state's proportion of the  German economy and to increase its flexibility.""  "
livestock,"CCC ACCEPTS EXPORT BONUS DAIRY CATTLE TO MOROCCO  The Commodity Credit Corporation,  CCC, has accepted a bonus offer from an exporter on the sale of  13 head of dairy cattle to Morocco, the U.S. Agriculture  Department said.      The department said the bonus awarded was 1,505.00 dlrs per  head and was made to Brown Swiss Enterprises Inc. It will be  paid in the form of commodities from CCC inventories.      The cattle are for delivery during March 9-September 30,  1987.      The department said the purchase completes the Export  Enhancement Program initiative for dairy cattle to Morocco  announced on April 16, 1986.  "
