,drugName,condition,review,rating,date,usefulCount
226299,Etonogestrel,Birth Control,"""So I first got the nexplanon in July of 2014, for the first 5 months I was fine, I didn&#039;t get my period and if I did it was random spotting (very light) but around January I noticed I was very emotional EVERYTHING made me cry. Then my period started coming twice a month with horrific cramps. Or I would spot for 2-3 weeks have a week where I thought It was over and started spotting again. I&#039;ve now had it for 13 months and it does the job because I havent gotten pregnant. But that&#039;s only because I haven&#039;t been able to have sex cause I don&#039;t know when my period is going to come""",5,28-Aug-15,7
190325,Ortho Tri-Cyclen Lo,Birth Control,"""I started off by taking regular Ortho Tri Cyclen, which helped some with my acne, but I also became severely depressed, so I went off it.  After a year and a half of not taking birth control at all, I began taking Ortho Tri Cyclen Lo for acne, and after 4 months my skin is MUCH clearer.  If I do get pimples, they are much smaller and more shallow than before, and go away quicker.  I am pleased!""",9,23-Dec-13,7
146651,Tamsulosin,Benign Prostatic Hyperplasia,"""I have been taking Flomax for a month for Benign Prostatic Hyperplasia. I had been getting up to urinate 2 or 3 times a night, suffering from severe pain during urination. Since starting Flomax I have found  myself dizzy if getting up quickly, blurred vision, decreased sex drive with abnormal ejaculate. I have lower back pain. I feel weaker and tired all the time. On the up side I can go all night with no need to get up to urinate and the pain while urinating is 50 percent less.""",6,7-Aug-11,104
25240,Tofacitinib,Rheumatoid Arthritis,"""I experienced an improvement in pain, swelling and stiffness within the first two weeks. I was able to titrate off of prednisone and hydrocodone. However, I am experiencing stomach upset and rapid hair loss, which is very disconcerting.""",9,20-Dec-13,75
5357,Cryselle,Endometriosis,"""I started taking Cryselle almost 9 months ago to treat my endometriosis as well as to act as a birth control. My OB-GYN instructed me to skip the placebos, and as a result I have had virtually no cramping or break through bleeding (common on my last pill). However, as she warned, I developed severe acne. The acne I could deal with, but the emotional side effects I cannot. I have become increasingly moody the longer I have been on Cryselle, especially around the time of my &quot;period&quot;. I have also developed strong feelings of anxiety and depression. I had hoped when these symptoms began, that they would lessen over time, but they have just increased in severity. """,7,2-Feb-14,14
13407,Amphetamine / dextroamphetamine,ADHD,"""Yes, this medication does work wonders, at first.  Diagnosed ADHD (by a Psychiatrist)  at the age of 26.  The first 3 years it worked quite well and felt like a godsend.  I took 5-6 days a week and my life demonstratively improved.  Focus, completing tasks, mental clarity, improved self-esteem...life was good.

Adderall, like other CNS stimulants, tend to become less effective after time and I noticed this more pronouncedly by my 5th year.  At that point, I felt trapped by the drug and tried to stop.  The problem was that even after a month or more without Adderall, none of discontinuation symptoms were improving.  While I continue to use Adderall for maintenance, I derive little benefit.  Be aware, the effects won&#039;t last indefinitely!""",2,20-May-15,57
46742,Clindamycin,Acne,"""I have had problems with acne off and on as a teenager, but after I had our  children it got worse.  I mean a LOT worse!  It got so bad that I  have not been in any family pictures or even gone in public for the last 4 years! I am 39 years old and finally got so  sick of wasting money and time on everything you can imagine,  even tried every old wives tales. Finally my Dr put me on this, benzol peroxide 5% and Retinal- A. 

Yes  weeks 1-3 made it 30%worse but week 4 and beyond my skin looks amazing!  I now love going into public and my confidence is through the roof, I would definitely recommend for everyone!""",8,13-Aug-16,32
11464,Pramipexole,Restless Legs Syndrome,"""I am a 12 year survivor of mirapex/Pramepexole. It was a miracle to begin with. I only slept about 4hrs a night but had enormous energy and never tired. That lasted nine years. But during that time I lost bladder control, impulse disorders, loss of concentration, myalgia neuropathy, falling asleep while driving, many more and augmentation. I was on .5 mg. Detoxing med free from this med was horrendous! After detox most of the side effects cleared up. But I still have issues with memory and concentration. This is the only med I took on a reg bases as my health was good. Im still suffering the side effects of the Withdrawl from it. Studies should be for longer than 12 weeks.""",1,4-Jun-16,16
124544,Skyla,Birth Control,"""honestly the measurement hurt more than the actual placement! And I&#039;m so happy I went through with it!!! I wish I didn&#039;t read all of these reviews before I did it. Pain is subjective and its not that bad. They explained the procedure to me and I felt more comfortable. I&#039;ve never had kids. Its just like getting a regular pap. I think it is the best option of birth control. That being said I will definitely recommend getting this! Do expect cramping for a day or two. I didnt cramp until about three hours after having it done. I took ibuprophen and slept with a heating bad. Very mild cramping today but I am happy with my choice :)""",10,14-Jul-15,3
229996,Lastacaft,"Conjunctivitis, Allergic","""I used them and within 6 hours my eyes swelled almost shut, and cheeks puffed up. 2 weeks later I still have red watery eyes, but thankfully the swelling is finally gone. I will never use this product again (obviously), but it is also incredibly expensive. I have never had an allergic reaction to any medication before so this was very unexpected.""",1,30-Nov-11,36
131523,Effexor XR,Anxiety,"""I was prescribed this for onset of anxiety and possible hormonal mood swings. I was not told by my doctor how it would make me feel or how hard coming off of it would be. I took one 37.5 mg capsule and was horrified that I was given this. I woke up at 2am with an anxiety attack for about the first hour. It then went into being wired, nauseous, shakey, weak, chills and sweating. 11 years ago I quit using meth and this was awful that I felt like I was on it again. I laid in bed the entire day, wide awake and ill. I never took another dose! And even one pill took at least another full day to leave my system. My nervous system is obviously sensitive and I could not handle this medication at all.""",2,27-Aug-17,13
209386,Nifedipine,Raynaud's Syndrome,"""I started the nifedipine/Procardia this morning. About 4 hours later the rare side effects kicked in. Heart palpitations, dizziness, headache, and I was FREEZING. Even at 43 I still call my mommy. She wasn&#039;t thrilled I was going to take it anyway since I have perfect blood pressure. But she recommended laying on my left side. That did help even if it did take awhile for me to get warm again. The headache is still lingering.""",1,19-Jul-14,22
229572,Lurasidone,Schizophrenia,"""I am on day #10 of this medication and the side effects are very minimal although I am having trouble sleeping. My sleep patterns have been affected. I feel more energetic, as If I have to be doing something. My mind will not stop repeating the same thoughts, over and over again. I am also very hungry and have an increased appetite. It does however, cause me to think about things differently as I know what my general reaction to things would be, or have been in the past, but, it allows me time to think of an alternative besides being explosive. It has calmed me, and more than once, has helped me to cope with a situation differently and more calmly. Overall, I think I&#039;m doing well so far. I plan to continue this medication for some time.""",8,19-Feb-15,26
105440,Afrezza,"Diabetes, Type 1","""Since I was on the trials I put 6+ months but I have been back on Afrezza for about 2 weeks.  Afrezza is nothing short of a miracle. I am a type 1 diabetic and my blood sugar average in the past 10 days has been 110. I have a CGM so I have had 2880 readings in the past 10 days.  A 110 average equals to an A1C of 5.45. This is possible because Afrezza mimics the speed of a healthy pancreas. Afrezza starts working in only 12-15 minutes and works out of my system very quickly. This allows me to manage my glucose in real time without babysitting diabetes all day. Even if I do have a high I can knock my sugars back to 100 in a matter of minutes.""",10,12-Feb-15,125
201582,Zoloft,Depression,"""Zoloft did not help me at all.  I was on it for about 3 months, worked up to 100mg.  I was tired and hungry all the time.  I gained 20 lbs and slept all day. I was a complete zombie.  Definitely made my depression worse.""",1,14-Jan-13,51
158346,Ziprasidone,Schizophrenia,"""Geodon is a very effective drug for me.  Completely wiped out the auditory hallucinations.""",10,20-Apr-08,33
159659,Bactrim,Kidney Infections,"""I was prescribed Bactrim for a kidney infection. I took two doses, 500 mgs each. After the first dose, I began to feel lousy. I assumed it was a side effect. The second dose almost killed me. I went to the ER, where I was stabilized enough to move me to ICU. Before I lost consciousness, my blood pressure was 35/27. I woke up 3 days later with a central line, severely swollen body, and my skin was bright red, like a severe sunburn. I spent 3 weeks in the hospital, with my blood pressure constantly plummeting. I apparently have a severe allergy.""",1,6-Dec-17,0
15423,Ethinyl estradiol / norethindrone,Birth Control,"""I was started on Gildess 1/20 but then was switched to Blisovi as Gildess was recalled. I always had the clearest skin and now that I&#039;ve been taking Blisovi I&#039;ll have random break outs and I&#039;ve gained some weight as well. I do not recommend. I can&#039;t wait to talk to my gynecologist to switch ASAP.""",3,7-Feb-17,4
95748,Sertraline,Major Depressive Disorde,"""I had major depression from the time I started menstruating.  It would cycle with my cycle.  It caused paranoia, and fear of being seen outside my home.  It feared going to my mail box, yet, at times I would sign up to do things like be an Avon Lady! I felt crazy. In my mid 30&#039;s, divorced, alcoholic, my doctor prescribed Prozac.  It didn&#039;t seem to help me.  Later in recovery but still profoundly depressed, she put me on Zoloft and the result was instantaneous.  I felt like a window to my life had been opened.  I wasn&#039;t afraid.  I looked forward to getting out of bed.  I found things I liked to do. I have a healthy relationship, a good job, a life.  I have been given my life back.  Now, I am 16 years sober.  Thank you Zoloft.""",10,2-Nov-14,88
